"time","event","prob","method","cif_lower","cif_upper","clone"
15,"Other modes",0.0011601623047076,"No weights",0.000507067121248958,0.00192694565229257,"strategy_1"
15.5,"Overall survival",0.947035976016584,"No weights",0.941981619145952,0.951694181587437,"strategy_1"
15.5,"Vaginal delivery",0.0505982205372238,"No weights",0.0454806936174203,0.0552296525342239,"strategy_1"
15.5,"Other modes",0.00236580344619339,"No weights",0.00144076430666616,0.00355174888139549,"strategy_1"
16,"Overall survival",0.935029930674643,"No weights",0.929486085868265,0.939515758858921,"strategy_1"
16,"Vaginal delivery",0.0617848362238828,"No weights",0.0567261293048811,0.0670335070968442,"strategy_1"
16,"Other modes",0.00318523310147549,"No weights",0.00210466321271835,0.00462203441052993,"strategy_1"
16.5,"Overall survival",0.920464085306204,"No weights",0.915279050332213,0.926443626259187,"strategy_1"
16.5,"Vaginal delivery",0.0746828325711919,"No weights",0.0690073137338294,0.0801539064940213,"strategy_1"
16.5,"Other modes",0.0048530821226053,"No weights",0.00326752961487525,0.00644124162269254,"strategy_1"
17,"Overall survival",0.907318940932871,"No weights",0.90120544715294,0.914098399434474,"strategy_1"
17,"Vaginal delivery",0.0861325884762459,"No weights",0.0796804483793177,0.0921960084022918,"strategy_1"
17,"Other modes",0.00654847059088369,"No weights",0.00480818427038341,0.00832450859500962,"strategy_1"
17.5,"Overall survival",0.893602380416564,"No weights",0.886313202698941,0.900646219634877,"strategy_1"
17.5,"Vaginal delivery",0.0985501046648416,"No weights",0.0915477633078234,0.10535183695893,"strategy_1"
17.5,"Other modes",0.00784751491859484,"No weights",0.00603405139116165,0.00996977276960872,"strategy_1"
18,"Overall survival",0.881568806044615,"No weights",0.873485377824678,0.888690426580579,"strategy_1"
18,"Vaginal delivery",0.110145059884396,"No weights",0.103294518134656,0.117719617475269,"strategy_1"
18,"Other modes",0.00828613407098971,"No weights",0.00640266393370078,0.0104481759686614,"strategy_1"
18.5,"Overall survival",0.869315158549112,"No weights",0.861568022239513,0.877360355380613,"strategy_1"
18.5,"Vaginal delivery",0.121651292582177,"No weights",0.114817827877611,0.129008069709001,"strategy_1"
18.5,"Other modes",0.0090335488687123,"No weights",0.00697836503186389,0.0113661000083431,"strategy_1"
19,"Overall survival",0.851823534185585,"No weights",0.843547596436534,0.859949504397681,"strategy_1"
19,"Vaginal delivery",0.137471053815478,"No weights",0.129965902447825,0.144961099870179,"strategy_1"
19,"Other modes",0.0107054119989376,"No weights",0.00858665382275527,0.0130135190381273,"strategy_1"
19.5,"Overall survival",0.836024286298867,"No weights",0.826387821819942,0.844681523569093,"strategy_1"
19.5,"Vaginal delivery",0.151259495931167,"No weights",0.142943228280053,0.160228977508409,"strategy_1"
19.5,"Other modes",0.0127162177699667,"No weights",0.0101883168689565,0.0155615922678908,"strategy_1"
20,"Overall survival",0.824059865889447,"No weights",0.814005877697876,0.833306263775423,"strategy_1"
20,"Vaginal delivery",0.161810236334221,"No weights",0.152619552089452,0.171126412602385,"strategy_1"
20,"Other modes",0.0141298977763334,"No weights",0.0112048011788018,0.0168216223315367,"strategy_1"
20.5,"Overall survival",0.813150818172408,"No weights",0.803478663173039,0.822951219274195,"strategy_1"
20.5,"Vaginal delivery",0.171918159615931,"No weights",0.16315224218926,0.181149713151543,"strategy_1"
20.5,"Other modes",0.0149310222116615,"No weights",0.0118376417616769,0.0174424147172808,"strategy_1"
21,"Overall survival",0.803499114563513,"No weights",0.7947022506393,0.813160512399843,"strategy_1"
21,"Vaginal delivery",0.180753198181225,"No weights",0.171923517062732,0.189238091651936,"strategy_1"
21,"Other modes",0.0157476872552625,"No weights",0.0125595907011999,0.0184808803067689,"strategy_1"
21.5,"Overall survival",0.793195031222185,"No weights",0.783507311996754,0.802382176277271,"strategy_1"
21.5,"Vaginal delivery",0.190061206620118,"No weights",0.181653077938066,0.198957929733786,"strategy_1"
21.5,"Other modes",0.0167437621576975,"No weights",0.013608757278445,0.01944424423516,"strategy_1"
22,"Overall survival",0.782697305614674,"No weights",0.773283200419749,0.79270192013135,"strategy_1"
22,"Vaginal delivery",0.199712883324462,"No weights",0.189718568484073,0.20882840645072,"strategy_1"
22,"Other modes",0.0175898110608653,"No weights",0.014166875322034,0.0205862316915307,"strategy_1"
22.5,"Overall survival",0.774556805115045,"No weights",0.764981193624664,0.785091230033006,"strategy_1"
22.5,"Vaginal delivery",0.206811974513093,"No weights",0.197200726998727,0.216145413110737,"strategy_1"
22.5,"Other modes",0.0186312203718632,"No weights",0.0152489371215424,0.0217744363615776,"strategy_1"
23,"Overall survival",0.76323821218787,"No weights",0.753284530084969,0.77397182033623,"strategy_1"
23,"Vaginal delivery",0.21636608678084,"No weights",0.207039693688906,0.226024970806328,"strategy_1"
23,"Other modes",0.0203957010312905,"No weights",0.0167376743063276,0.0235115168503531,"strategy_1"
23.5,"Overall survival",0.754394896534732,"No weights",0.743550724178933,0.764761526209833,"strategy_1"
23.5,"Vaginal delivery",0.223948364969511,"No weights",0.214396267655903,0.234549881522425,"strategy_1"
23.5,"Other modes",0.021656738495758,"No weights",0.017594208082745,0.0251057014182767,"strategy_1"
24,"Overall survival",0.745533070649916,"No weights",0.735491125658236,0.755467171042347,"strategy_1"
24,"Vaginal delivery",0.231522887138387,"No weights",0.221426885678035,0.241776752086396,"strategy_1"
24,"Other modes",0.0229440422116979,"No weights",0.0188341909859748,0.0266177070885406,"strategy_1"
24.5,"Overall survival",0.737230717926103,"No weights",0.726661552050757,0.747356773494592,"strategy_1"
24.5,"Vaginal delivery",0.23944982673479,"No weights",0.229147584205491,0.250528883182869,"strategy_1"
24.5,"Other modes",0.0233194553391073,"No weights",0.0192491498974416,0.0270416047832912,"strategy_1"
25,"Overall survival",0.728876136977703,"No weights",0.718333745895457,0.739585730124506,"strategy_1"
25,"Vaginal delivery",0.247418919920429,"No weights",0.237367541835195,0.258061287984762,"strategy_1"
25,"Other modes",0.0237049431018685,"No weights",0.019416456579206,0.0273190421121263,"strategy_1"
25.5,"Overall survival",0.720225315312461,"No weights",0.708631492297547,0.730588005105439,"strategy_1"
25.5,"Vaginal delivery",0.255872427951809,"No weights",0.245834934685855,0.267865197443892,"strategy_1"
25.5,"Other modes",0.0239022567357306,"No weights",0.0196624337032402,0.0275153036129896,"strategy_1"
26,"Overall survival",0.70799928911692,"No weights",0.695517805629389,0.719115337269389,"strategy_1"
26,"Vaginal delivery",0.267053938894375,"No weights",0.256133515263421,0.278182175484463,"strategy_1"
26,"Other modes",0.0249467719887046,"No weights",0.020948650004606,0.0285628096950462,"strategy_1"
26.5,"Overall survival",0.701307071789315,"No weights",0.688974786080869,0.712721869936203,"strategy_1"
26.5,"Vaginal delivery",0.273080911273149,"No weights",0.261660037339651,0.284677006543229,"strategy_1"
26.5,"Other modes",0.0256120169375359,"No weights",0.0220011500340153,0.0294261147320199,"strategy_1"
27,"Overall survival",0.69368355066785,"No weights",0.68147227008617,0.704401477819761,"strategy_1"
27,"Vaginal delivery",0.280704432394615,"No weights",0.269691752582157,0.291964521949273,"strategy_1"
