"time","event","prob","method","cif_lower","cif_upper","clone"
21,"Other modes",0.191068375511844,"No weights",0.171547336503801,0.211775655864787,"window_0_8"
21.5,"Overall survival",0.0464994595519768,"No weights",0.0360832830828145,0.0593742136234035,"window_0_8"
21.5,"Vaginal delivery",0.761520410827309,"No weights",0.739568202142206,0.783663042819168,"window_0_8"
21.5,"Other modes",0.191980129620707,"No weights",0.171669683322849,0.213148056433414,"window_0_8"
22,"Overall survival",0.04376419722539,"No weights",0.0333548722268165,0.0563742477327443,"window_0_8"
22,"Vaginal delivery",0.763343919045033,"No weights",0.741921342930357,0.785225538148748,"window_0_8"
22,"Other modes",0.192891883729569,"No weights",0.172498957544474,0.213411313010858,"window_0_8"
22.5,"Overall survival",0.0410289348988031,"No weights",0.0314488795281413,0.0530710811992994,"window_0_8"
22.5,"Vaginal delivery",0.765167427262758,"No weights",0.742515987206627,0.78683052716154,"window_0_8"
22.5,"Other modes",0.193803637838431,"No weights",0.173144449813203,0.215386198601804,"window_0_8"
23,"Overall survival",0.0337349020279048,"No weights",0.0245897184162841,0.0438273796697699,"window_0_8"
23,"Vaginal delivery",0.772461460133656,"No weights",0.750031293319047,0.793750867770484,"window_0_8"
23,"Other modes",0.193803637838431,"No weights",0.173144449813203,0.215386198601804,"window_0_8"
23.5,"Overall survival",0.0300878855924556,"No weights",0.0208497657331951,0.0401543345020261,"window_0_8"
23.5,"Vaginal delivery",0.77428496835138,"No weights",0.751590979378299,0.794915761578888,"window_0_8"
23.5,"Other modes",0.195627146056156,"No weights",0.175203828352724,0.217257957446293,"window_0_8"
24,"Overall survival",0.0264408691570064,"No weights",0.0178414938133379,0.0357374946000859,"window_0_8"
24,"Vaginal delivery",0.777020230677967,"No weights",0.754836762210953,0.797143183924841,"window_0_8"
24,"Other modes",0.196538900165018,"No weights",0.175406244101092,0.217985554508939,"window_0_8"
24.5,"Overall survival",0.0237056068304196,"No weights",0.0155418891214612,0.0325250098063558,"window_0_8"
24.5,"Vaginal delivery",0.779755493004554,"No weights",0.758245243748623,0.79978665024371,"window_0_8"
24.5,"Other modes",0.196538900165018,"No weights",0.175406244101092,0.217985554508939,"window_0_8"
25,"Overall survival",0.021882098612695,"No weights",0.0141347495545414,0.0299100139378682,"window_0_8"
25,"Vaginal delivery",0.781579001222278,"No weights",0.759748677545064,0.802866947384675,"window_0_8"
25,"Other modes",0.196538900165018,"No weights",0.175406244101092,0.217985554508939,"window_0_8"
25.5,"Overall survival",0.0209703445038327,"No weights",0.0134475969741592,0.029024324450876,"window_0_8"
25.5,"Vaginal delivery",0.782490755331141,"No weights",0.761440598184528,0.803646914582289,"window_0_8"
25.5,"Other modes",0.196538900165018,"No weights",0.175406244101092,0.217985554508939,"window_0_8"
26,"Overall survival",0.0173233280683835,"No weights",0.0104642148931043,0.0256496310936547,"window_0_8"
26,"Vaginal delivery",0.785226017657727,"No weights",0.764013060665101,0.804991386259523,"window_0_8"
26,"Other modes",0.197450654273881,"No weights",0.176545074602518,0.219089437479456,"window_0_8"
26.5,"Overall survival",0.0173233280683835,"No weights",0.0104642148931043,0.0256496310936547,"window_0_8"
26.5,"Vaginal delivery",0.785226017657727,"No weights",0.764013060665101,0.804991386259523,"window_0_8"
26.5,"Other modes",0.197450654273881,"No weights",0.176545074602518,0.219089437479456,"window_0_8"
27,"Overall survival",0.0154998198506589,"No weights",0.00809106123726584,0.0227528729075119,"window_0_8"
27,"Vaginal delivery",0.787049525875452,"No weights",0.765683410299289,0.808004858849756,"window_0_8"
27,"Other modes",0.197450654273881,"No weights",0.176545074602518,0.219089437479456,"window_0_8"
27.5,"Overall survival",0.0127645575240721,"No weights",0.00646027312950986,0.0190947760555974,"window_0_8"
27.5,"Vaginal delivery",0.789784788202038,"No weights",0.76875776058779,0.810504009704947,"window_0_8"
27.5,"Other modes",0.197450654273881,"No weights",0.176545074602518,0.219089437479456,"window_0_8"
28,"Overall survival",0.0100292951974852,"No weights",0.00498277310372048,0.0157453826882263,"window_0_8"
28,"Vaginal delivery",0.791608296419763,"No weights",0.771219567649068,0.813067635666347,"window_0_8"
28,"Other modes",0.198362408382743,"No weights",0.177213000475445,0.220169854910726,"window_0_8"
28.5,"Overall survival",0.00820578697976062,"No weights",0.00362895848921,0.0139130719908174,"window_0_8"
28.5,"Vaginal delivery",0.792520050528625,"No weights",0.771415323847415,0.813070134223236,"window_0_8"
28.5,"Other modes",0.199274162491605,"No weights",0.178299820557673,0.221397122057502,"window_0_8"
29,"Overall survival",0.00729403287089833,"No weights",0.00271373339444547,0.0132133960235793,"window_0_8"
29,"Vaginal delivery",0.793431804637487,"No weights",0.772310693734135,0.813663312634164,"window_0_8"
29,"Other modes",0.199274162491605,"No weights",0.178299820557673,0.221397122057502,"window_0_8"
29.5,"Overall survival",0.00547052465317375,"No weights",0.00176761995143392,0.0103836219534489,"window_0_8"
29.5,"Vaginal delivery",0.79434355874635,"No weights",0.772852452233233,0.81582852342918,"window_0_8"
29.5,"Other modes",0.200185916600467,"No weights",0.178504484486273,0.222142008975511,"window_0_8"
30,"Overall survival",0.00455877054431145,"No weights",0.00093424524161774,0.00943884298215092,"window_0_8"
30,"Vaginal delivery",0.79434355874635,"No weights",0.772852452233233,0.81582852342918,"window_0_8"
30,"Other modes",0.20109767070933,"No weights",0.179300207123104,0.222638604578528,"window_0_8"
30.5,"Overall survival",0.00455877054431145,"No weights",0.00093424524161774,0.00943884298215092,"window_0_8"
30.5,"Vaginal delivery",0.79434355874635,"No weights",0.772852452233233,0.81582852342918,"window_0_8"
30.5,"Other modes",0.20109767070933,"No weights",0.179300207123104,0.222638604578528,"window_0_8"
31,"Overall survival",0.00455877054431145,"No weights",0.00093424524161774,0.00943884298215092,"window_0_8"
31,"Vaginal delivery",0.79434355874635,"No weights",0.772852452233233,0.81582852342918,"window_0_8"
31,"Other modes",0.20109767070933,"No weights",0.179300207123104,0.222638604578528,"window_0_8"
31.5,"Overall survival",0.00455877054431145,"No weights",0.00093424524161774,0.00943884298215092,"window_0_8"
31.5,"Vaginal delivery",0.79434355874635,"No weights",0.772852452233233,0.81582852342918,"window_0_8"
31.5,"Other modes",0.20109767070933,"No weights",0.179300207123104,0.222638604578528,"window_0_8"
32,"Overall survival",0.00455877054431145,"No weights",0.00093424524161774,0.00943884298215092,"window_0_8"
32,"Vaginal delivery",0.79434355874635,"No weights",0.772852452233233,0.81582852342918,"window_0_8"
32,"Other modes",0.20109767070933,"No weights",0.179300207123104,0.222638604578528,"window_0_8"
32.5,"Overall survival",0.00455877054431145,"No weights",0.00093424524161774,0.00943884298215092,"window_0_8"
32.5,"Vaginal delivery",0.79434355874635,"No weights",0.772852452233233,0.81582852342918,"window_0_8"
32.5,"Other modes",0.20109767070933,"No weights",0.179300207123104,0.222638604578528,"window_0_8"
33,"Overall survival",0.00455877054431145,"No weights",0.00093424524161774,0.00943884298215092,"window_0_8"
33,"Vaginal delivery",0.79434355874635,"No weights",0.772852452233233,0.81582852342918,"window_0_8"
33,"Other modes",0.20109767070933,"No weights",0.179300207123104,0.222638604578528,"window_0_8"
33.5,"Overall survival",0.00455877054431145,"No weights",0.00093424524161774,0.00943884298215092,"window_0_8"
33.5,"Vaginal delivery",0.79434355874635,"No weights",0.772852452233233,0.81582852342918,"window_0_8"
33.5,"Other modes",0.20109767070933,"No weights",0.179300207123104,0.222638604578528,"window_0_8"
34,"Overall survival",0.00273526232658687,"No weights",0,0.00655689731749685,"window_0_8"
