"time","event","prob","method","cif_lower","cif_upper","clone"
24.5,"Overall survival",0.0237056068304196,"No weights",0.0165676015571375,0.0326762342286262,"window_0_8"
24.5,"Vaginal delivery",0.779755493004554,"No weights",0.753292586370842,0.799768121815999,"window_0_8"
24.5,"Other modes",0.196538900165018,"No weights",0.177719188457362,0.220656393157141,"window_0_8"
25,"Overall survival",0.021882098612695,"No weights",0.0153557412305863,0.030517816791558,"window_0_8"
25,"Vaginal delivery",0.781579001222278,"No weights",0.757139564610196,0.801602676063739,"window_0_8"
25,"Other modes",0.196538900165018,"No weights",0.177719188457362,0.220656393157141,"window_0_8"
25.5,"Overall survival",0.0209703445038327,"No weights",0.0145819070148925,0.0295873509252031,"window_0_8"
25.5,"Vaginal delivery",0.782490755331141,"No weights",0.757666137758527,0.802648597265547,"window_0_8"
25.5,"Other modes",0.196538900165018,"No weights",0.177719188457362,0.220656393157141,"window_0_8"
26,"Overall survival",0.0173233280683835,"No weights",0.0109553047752532,0.0252850284538646,"window_0_8"
26,"Vaginal delivery",0.785226017657727,"No weights",0.759946236407272,0.805402806372501,"window_0_8"
26,"Other modes",0.197450654273881,"No weights",0.178117284394458,0.221056439370821,"window_0_8"
26.5,"Overall survival",0.0173233280683835,"No weights",0.0109553047752532,0.0252850284538646,"window_0_8"
26.5,"Vaginal delivery",0.785226017657727,"No weights",0.759946236407272,0.805402806372501,"window_0_8"
26.5,"Other modes",0.197450654273881,"No weights",0.178117284394458,0.221056439370821,"window_0_8"
27,"Overall survival",0.0154998198506589,"No weights",0.00891837778345155,0.0234145700657549,"window_0_8"
27,"Vaginal delivery",0.787049525875452,"No weights",0.763370311579386,0.807336236589658,"window_0_8"
27,"Other modes",0.197450654273881,"No weights",0.178117284394458,0.221056439370821,"window_0_8"
27.5,"Overall survival",0.0127645575240721,"No weights",0.0068677843081833,0.0201952418144795,"window_0_8"
27.5,"Vaginal delivery",0.789784788202038,"No weights",0.766796595616253,0.809756753690147,"window_0_8"
27.5,"Other modes",0.197450654273881,"No weights",0.178117284394458,0.221056439370821,"window_0_8"
28,"Overall survival",0.0100292951974852,"No weights",0.0043640580044068,0.0161153588866544,"window_0_8"
28,"Vaginal delivery",0.791608296419763,"No weights",0.768285473862093,0.810873615677504,"window_0_8"
28,"Other modes",0.198362408382743,"No weights",0.178628616665841,0.221743104826202,"window_0_8"
28.5,"Overall survival",0.00820578697976062,"No weights",0.00301014909908736,0.0130338829006241,"window_0_8"
28.5,"Vaginal delivery",0.792520050528625,"No weights",0.770033720389194,0.811990477664861,"window_0_8"
28.5,"Other modes",0.199274162491605,"No weights",0.179602920688543,0.222169601169147,"window_0_8"
29,"Overall survival",0.00729403287089833,"No weights",0.00267451446781068,0.0121730393299129,"window_0_8"
29,"Vaginal delivery",0.793431804637487,"No weights",0.770938838271983,0.812712516630819,"window_0_8"
29,"Other modes",0.199274162491605,"No weights",0.179602920688543,0.222169601169147,"window_0_8"
29.5,"Overall survival",0.00547052465317375,"No weights",0.00179076136434635,0.00967818024029868,"window_0_8"
29.5,"Vaginal delivery",0.79434355874635,"No weights",0.772266382223093,0.813459598891215,"window_0_8"
29.5,"Other modes",0.200185916600467,"No weights",0.180531201545537,0.222655066905744,"window_0_8"
30,"Overall survival",0.00455877054431145,"No weights",0.000910647056389892,0.00915588220512782,"window_0_8"
30,"Vaginal delivery",0.79434355874635,"No weights",0.772266382223093,0.813459598891215,"window_0_8"
30,"Other modes",0.20109767070933,"No weights",0.181438165461553,0.223574260044784,"window_0_8"
30.5,"Overall survival",0.00455877054431145,"No weights",0.000910647056389892,0.00915588220512782,"window_0_8"
30.5,"Vaginal delivery",0.79434355874635,"No weights",0.772266382223093,0.813459598891215,"window_0_8"
30.5,"Other modes",0.20109767070933,"No weights",0.181438165461553,0.223574260044784,"window_0_8"
31,"Overall survival",0.00455877054431145,"No weights",0.000910647056389892,0.00915588220512782,"window_0_8"
31,"Vaginal delivery",0.79434355874635,"No weights",0.772266382223093,0.813459598891215,"window_0_8"
31,"Other modes",0.20109767070933,"No weights",0.181438165461553,0.223574260044784,"window_0_8"
31.5,"Overall survival",0.00455877054431145,"No weights",0.000910647056389892,0.00915588220512782,"window_0_8"
31.5,"Vaginal delivery",0.79434355874635,"No weights",0.772266382223093,0.813459598891215,"window_0_8"
31.5,"Other modes",0.20109767070933,"No weights",0.181438165461553,0.223574260044784,"window_0_8"
32,"Overall survival",0.00455877054431145,"No weights",0.000910647056389892,0.00915588220512782,"window_0_8"
32,"Vaginal delivery",0.79434355874635,"No weights",0.772266382223093,0.813459598891215,"window_0_8"
32,"Other modes",0.20109767070933,"No weights",0.181438165461553,0.223574260044784,"window_0_8"
32.5,"Overall survival",0.00455877054431145,"No weights",0.000910647056389892,0.00915588220512782,"window_0_8"
32.5,"Vaginal delivery",0.79434355874635,"No weights",0.772266382223093,0.813459598891215,"window_0_8"
32.5,"Other modes",0.20109767070933,"No weights",0.181438165461553,0.223574260044784,"window_0_8"
33,"Overall survival",0.00455877054431145,"No weights",0.000910647056389892,0.00915588220512782,"window_0_8"
33,"Vaginal delivery",0.79434355874635,"No weights",0.772266382223093,0.813459598891215,"window_0_8"
33,"Other modes",0.20109767070933,"No weights",0.181438165461553,0.223574260044784,"window_0_8"
33.5,"Overall survival",0.00455877054431145,"No weights",0.000910647056389892,0.00915588220512782,"window_0_8"
